1,7.24,
2,7.25,
3,7.27,
4,7.26,
5,7.25,
6,7.24,
7,7.25,
8,7.25,
9,7.26,
10,7.26,
11,7.25,
12,7.24,
13,7.26,
14,7.25,
15,7.24,
16,7.23,
17,7.24,
18,7.25,
19,7.25,
20,7.25,
21,7.26,
22,7.25,
23,7.24,
24,7.24,
25,7.24,
26,7.26,
27,7.25,
28,7.24,
29,7.30,
30,7.41,
31,7.44,
32,7.41,
33,7.43,
34,7.44,
35,7.45,
36,7.46,
37,7.47,
38,7.48,
39,7.48,
40,7.48,
41,7.47,
42,7.48,
43,7.50,
44,7.49,
45,7.49,
46,7.50,
47,7.51,
48,7.52,
49,7.50,
50,7.50,
51,7.50,
52,7.48,
53,7.49,
54,7.48,
55,7.48,
56,7.47,
57,7.47,
58,7.48,
59,7.48,
60,7.49,
61,7.50,
62,7.50,
63,7.51,
64,7.52,
65,7.52,
66,7.50,
67,7.50,
68,7.51,
69,7.50,
70,7.51,
71,7.54,
72,7.53,
73,7.50,
74,7.48,
75,7.45,
76,7.43,
77,7.42,
78,7.42,
79,7.40,
80,7.39,
81,7.39,
82,7.38,
83,7.37,
84,7.37,
85,7.40,
86,7.41,
87,7.41,
88,7.41,
89,7.40,
90,7.40,
91,7.42,
92,7.41,
93,7.39,
94,7.39,
95,7.41,
96,7.41,
97,7.39,
98,7.38,
99,7.39,
100,7.40,
